                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.649,                 1.3835,                  1.434,                0.57905,                0.62604,                0.61978,                0.30456,                 1.9935,                 1.4008,                 1.5788,              0.0006386,              0.0006386,              0.0006386
                     35,                 1.6589,                 1.3451,                 1.4438,                0.56864,                0.62705,                0.58853,                0.28225,                 2.0113,                  1.452,                 1.6257,             0.00063625,             0.00063625,             0.00063625
                     36,                 1.6604,                 1.3671,                 1.4576,                 0.5542,                0.61053,                0.61157,                0.31165,                 1.9565,                 1.4264,                 1.6074,             0.00063389,             0.00063389,             0.00063389
                     37,                 1.6604,                 1.3951,                 1.4408,                0.80985,                0.52127,                0.59398,                0.30435,                 1.9343,                 1.4029,                 1.6243,             0.00063153,             0.00063153,             0.00063153
                     38,                 1.6332,                 1.3071,                 1.4244,                0.64042,                0.57604,                 0.6435,                0.31569,                  2.021,                  1.428,                   1.62,             0.00062918,             0.00062918,             0.00062918
                     39,                 1.6408,                  1.357,                 1.4477,                0.59671,                0.61157,                0.61446,                0.30106,                 1.9627,                 1.4436,                 1.6269,             0.00062682,             0.00062682,             0.00062682
                     40,                 1.6482,                 1.3406,                 1.4437,                0.65292,                0.65044,                0.67932,                0.31826,                  2.013,                 1.4074,                 1.6241,             0.00062446,             0.00062446,             0.00062446
                     41,                 1.6403,                 1.3112,                 1.4368,                0.68861,                 0.5615,                0.62925,                 0.3192,                 1.9331,                 1.3747,                 1.5691,             0.00062211,             0.00062211,             0.00062211
                     42,                 1.6222,                 1.3229,                 1.4341,                0.64639,                0.62963,                0.63457,                0.31268,                 1.8901,                 1.3879,                 1.5599,             0.00061975,             0.00061975,             0.00061975
                     43,                 1.6275,                 1.3251,                 1.4201,                0.63411,                0.67233,                0.69703,                0.33355,                 1.9162,                 1.3657,                 1.5975,              0.0006174,              0.0006174,              0.0006174
                     44,                 1.6255,                 1.3071,                 1.4248,                0.63248,                0.64407,                0.65335,                0.32098,                 1.9478,                   1.41,                  1.591,             0.00061504,             0.00061504,             0.00061504
                     45,                 1.6246,                 1.3133,                 1.4288,                0.67537,                0.57666,                0.63646,                0.30571,                 1.9842,                 1.4054,                 1.5865,             0.00061268,             0.00061268,             0.00061268
                     46,                 1.6082,                 1.2988,                 1.4204,                0.74171,                0.58413,                0.64494,                0.31467,                 1.9442,                 1.3678,                 1.5714,             0.00061033,             0.00061033,             0.00061033
                     47,                 1.5916,                 1.2564,                 1.4042,                0.70256,                0.56537,                0.62277,                0.31344,                 1.9514,                 1.3742,                 1.6009,             0.00060797,             0.00060797,             0.00060797
                     48,                 1.5976,                  1.264,                 1.4155,                0.61112,                0.61709,                 0.6263,                0.31385,                 1.9915,                 1.4174,                 1.6098,             0.00060561,             0.00060561,             0.00060561
                     49,                 1.5812,                 1.2555,                  1.393,                0.76252,                0.56498,                0.64881,                0.31935,                 1.9348,                  1.351,                 1.5513,             0.00060326,             0.00060326,             0.00060326
                     50,                 1.5748,                 1.2544,                  1.395,                0.66989,                0.64117,                0.67518,                0.31889,                 1.9531,                 1.3364,                 1.5905,              0.0006009,              0.0006009,              0.0006009
                     51,                 1.5886,                 1.2437,                 1.4084,                0.70462,                0.58268,                0.62596,                0.28705,                 1.9717,                 1.3552,                  1.574,             0.00059855,             0.00059855,             0.00059855
                     52,                 1.5677,                  1.223,                 1.3887,                0.63347,                0.63869,                0.65782,                0.31063,                 1.9277,                 1.3316,                 1.5723,             0.00059619,             0.00059619,             0.00059619
                     53,                 1.5846,                 1.2391,                 1.4022,                0.54647,                0.67792,                0.65493,                0.31266,                 1.9579,                 1.3332,                 1.5745,             0.00059383,             0.00059383,             0.00059383
                     54,                 1.5596,                 1.2022,                 1.3778,                0.64783,                0.63753,                0.65347,                0.32535,                 1.9442,                 1.3409,                 1.5626,             0.00059148,             0.00059148,             0.00059148
                     55,                 1.5532,                 1.1968,                 1.3802,                0.73605,                0.57628,                0.66914,                0.32996,                 1.9361,                 1.3335,                 1.5806,             0.00058912,             0.00058912,             0.00058912
                     56,                 1.5579,                 1.1927,                 1.3871,                0.77029,                0.65153,                0.68436,                0.34548,                 1.9546,                 1.2888,                 1.6026,             0.00058677,             0.00058677,             0.00058677
                     57,                 1.5689,                 1.2088,                 1.3892,                0.60667,                0.64144,                0.64317,                0.31828,                 1.9337,                 1.3087,                 1.6019,             0.00058441,             0.00058441,             0.00058441
                     58,                 1.5737,                  1.216,                 1.3867,                 0.6069,                0.62768,                0.63783,                0.31486,                 1.9444,                 1.3569,                 1.5916,             0.00058205,             0.00058205,             0.00058205
                     59,                 1.5672,                 1.1984,                 1.3838,                0.64055,                0.68148,                0.63245,                0.30846,                 1.9753,                 1.3315,                  1.627,              0.0005797,              0.0005797,              0.0005797
                     60,                 1.5285,                  1.175,                 1.3577,                0.72914,                0.62586,                0.68345,                0.34418,                 1.9225,                 1.3006,                 1.6135,             0.00057734,             0.00057734,             0.00057734
                     61,                   1.52,                 1.1505,                  1.364,                0.66874,                0.57585,                0.62039,                0.30009,                 1.9922,                 1.3873,                  1.637,             0.00057498,             0.00057498,             0.00057498
                     62,                 1.5349,                 1.1754,                 1.3755,                0.63193,                0.63599,                0.63997,                0.30395,                 2.0128,                 1.3883,                 1.6278,             0.00057263,             0.00057263,             0.00057263
                     63,                 1.5438,                 1.1973,                  1.369,                0.72904,                0.59065,                0.63365,                0.30433,                 1.9712,                 1.2524,                 1.6456,             0.00057027,             0.00057027,             0.00057027
                     64,                 1.5088,                  1.124,                 1.3365,                0.71002,                0.56965,                0.61301,                0.30446,                 1.9628,                  1.337,                 1.6199,             0.00056792,             0.00056792,             0.00056792
                     65,                 1.5281,                 1.1403,                 1.3508,                0.64482,                0.69526,                0.68609,                0.33759,                 1.9289,                 1.3214,                 1.6121,             0.00056556,             0.00056556,             0.00056556
                     66,                 1.5221,                 1.1347,                 1.3597,                0.59789,                0.69186,                0.63793,                0.31378,                  1.985,                 1.3342,                 1.6141,              0.0005632,              0.0005632,              0.0005632
                     67,                 1.5167,                 1.1552,                 1.3525,                0.55393,                0.67765,                0.65183,                0.31552,                 1.9964,                 1.3143,                 1.5999,             0.00056085,             0.00056085,             0.00056085
                     68,                 1.5136,                 1.1263,                 1.3501,                0.65836,                0.66153,                0.67338,                0.32663,                 1.9811,                 1.3465,                 1.5976,             0.00055849,             0.00055849,             0.00055849
                     69,                 1.5054,                 1.1345,                 1.3529,                0.69282,                0.64103,                0.65867,                0.31711,                  1.983,                  1.363,                 1.5935,             0.00055613,             0.00055613,             0.00055613
                     70,                 1.5203,                 1.1488,                 1.3517,                0.58887,                0.62543,                 0.6392,                0.31205,                 1.9955,                 1.2879,                  1.623,             0.00055378,             0.00055378,             0.00055378
                     71,                 1.4935,                 1.1106,                 1.3375,                0.66067,                0.65568,                0.67215,                0.33029,                 1.9586,                 1.3122,                 1.6012,             0.00055142,             0.00055142,             0.00055142
                     72,                  1.515,                 1.1285,                 1.3567,                 0.5994,                0.65987,                0.64338,                  0.303,                 2.0095,                 1.3033,                  1.635,             0.00054907,             0.00054907,             0.00054907
                     73,                 1.4887,                 1.0798,                 1.3245,                0.70586,                0.61461,                0.63232,                0.32755,                  1.911,                 1.2747,                 1.5847,             0.00054671,             0.00054671,             0.00054671
                     74,                 1.4943,                  1.098,                 1.3313,                 0.6944,                0.64955,                0.67268,                0.32587,                 1.9448,                 1.2656,                 1.5901,             0.00054435,             0.00054435,             0.00054435
                     75,                 1.4887,                 1.0737,                 1.3277,                0.64104,                0.63449,                0.61583,                0.30291,                 2.0191,                 1.2629,                 1.6221,               0.000542,               0.000542,               0.000542
                     76,                 1.4793,                 1.0863,                  1.323,                0.69996,                0.62502,                0.66789,                0.33713,                 1.9562,                 1.2651,                 1.5885,             0.00053964,             0.00053964,             0.00053964
                     77,                 1.4753,                 1.0895,                 1.3247,                0.64951,                0.67617,                0.66763,                0.32762,                 1.9608,                 1.3126,                 1.6226,             0.00053728,             0.00053728,             0.00053728
                     78,                  1.453,                 1.0785,                 1.3079,                0.67907,                0.65841,                0.66867,                 0.3208,                 2.0073,                 1.3251,                 1.6298,             0.00053493,             0.00053493,             0.00053493
                     79,                 1.4821,                 1.0534,                 1.3178,                0.58652,                0.67206,                0.63708,                0.30511,                 1.9804,                 1.3125,                 1.6248,             0.00053257,             0.00053257,             0.00053257
                     80,                 1.4963,                 1.0623,                 1.3218,                0.68678,                0.65731,                0.66908,                0.34487,                 1.9651,                 1.2533,                 1.6475,             0.00053022,             0.00053022,             0.00053022
                     81,                 1.4661,                 1.0562,                 1.3133,                0.60315,                0.68295,                0.66874,                  0.327,                 1.9568,                 1.2697,                  1.598,             0.00052786,             0.00052786,             0.00052786
                     82,                 1.4512,                 1.0472,                 1.3057,                 0.6152,                0.58782,                0.59604,                0.28635,                 2.0215,                 1.2797,                 1.6611,              0.0005255,              0.0005255,              0.0005255
                     83,                 1.4602,                 1.0503,                 1.3212,                0.68892,                0.68168,                0.67517,                0.32227,                 1.9795,                 1.2653,                 1.5938,             0.00052315,             0.00052315,             0.00052315
                     84,                  1.457,                 1.0374,                 1.3143,                0.59855,                0.60072,                0.60591,                0.29144,                 2.0292,                 1.3659,                 1.6218,             0.00052079,             0.00052079,             0.00052079
                     85,                 1.4225,                 1.0262,                 1.3011,                0.77564,                0.60537,                0.64224,                0.30947,                 1.9914,                 1.3221,                 1.6295,             0.00051844,             0.00051844,             0.00051844
                     86,                 1.4273,                 1.0189,                  1.295,                0.58818,                0.67803,                0.63399,                0.32096,                 1.9646,                 1.2725,                 1.6008,             0.00051608,             0.00051608,             0.00051608
                     87,                 1.4009,                0.99962,                  1.284,                 0.6296,                0.61996,                0.62912,                0.32926,                  1.969,                 1.2465,                 1.6116,             0.00051372,             0.00051372,             0.00051372
                     88,                 1.4346,                 1.0103,                 1.3044,                0.65398,                0.56064,                0.61463,                0.30788,                 1.9597,                 1.3104,                  1.601,             0.00051137,             0.00051137,             0.00051137
                     89,                 1.4319,                 1.0163,                 1.3057,                0.68981,                0.65524,                0.64571,                0.32682,                 1.9458,                 1.2861,                 1.6134,             0.00050901,             0.00050901,             0.00050901
                     90,                 1.3974,                0.98471,                 1.2771,                 0.6419,                0.67001,                0.63862,                0.31501,                 2.0524,                 1.2649,                  1.683,             0.00050665,             0.00050665,             0.00050665
                     91,                 1.4237,                 1.0322,                 1.3015,                0.64848,                0.61277,                0.61611,                0.31454,                 1.9877,                 1.3009,                 1.6469,              0.0005043,              0.0005043,              0.0005043
                     92,                 1.3958,                0.99546,                 1.2824,                0.66841,                 0.6094,                0.64114,                0.32831,                 1.9535,                 1.2579,                 1.6318,             0.00050194,             0.00050194,             0.00050194
                     93,                 1.3961,                0.96277,                 1.2837,                0.62695,                0.65539,                0.63957,                0.33495,                 1.9569,                 1.2872,                 1.6367,             0.00049959,             0.00049959,             0.00049959
                     94,                 1.3885,                0.96935,                 1.2744,                0.62304,                0.69764,                 0.6493,                0.32736,                 2.0021,                 1.2954,                 1.6437,             0.00049723,             0.00049723,             0.00049723
                     95,                 1.3656,                0.94025,                 1.2608,                0.68259,                0.62733,                0.64993,                0.32402,                 1.9853,                  1.251,                 1.6395,             0.00049487,             0.00049487,             0.00049487
                     96,                 1.3796,                0.94971,                 1.2692,                0.69106,                0.63329,                0.63482,                0.31303,                 1.9931,                 1.2612,                 1.6324,             0.00049252,             0.00049252,             0.00049252
                     97,                 1.3764,                0.94131,                 1.2602,                 0.6192,                 0.6343,                0.62524,                0.30514,                  2.015,                 1.3167,                 1.6723,             0.00049016,             0.00049016,             0.00049016
                     98,                 1.3586,                0.94072,                 1.2616,                0.65134,                0.71173,                0.67267,                0.33929,                 1.9084,                 1.2453,                 1.5868,              0.0004878,              0.0004878,              0.0004878
                     99,                 1.3462,                0.93851,                 1.2474,                0.66659,                 0.6536,                0.65064,                0.32805,                 1.9921,                 1.2472,                 1.6105,             0.00048545,             0.00048545,             0.00048545
                    100,                 1.3591,                0.95308,                 1.2557,                0.62097,                 0.6346,                0.61906,                0.32589,                 1.9706,                 1.2664,                 1.6403,             0.00048309,             0.00048309,             0.00048309
                    101,                 1.3772,                0.93621,                 1.2612,                0.64131,                0.66108,                0.65297,                0.31447,                 1.9976,                 1.2909,                 1.5829,             0.00048074,             0.00048074,             0.00048074
                    102,                 1.3798,                0.95327,                 1.2612,                 0.7165,                0.59943,                0.63523,                0.32475,                 1.9363,                  1.257,                 1.6271,             0.00047838,             0.00047838,             0.00047838
                    103,                 1.3682,                 0.9635,                 1.2628,                0.69368,                0.62654,                 0.6443,                0.32866,                 1.9821,                 1.2855,                 1.6159,             0.00047602,             0.00047602,             0.00047602
                    104,                 1.3622,                0.94247,                 1.2566,                0.57482,                0.68359,                0.64835,                0.33599,                 1.9692,                  1.284,                 1.6296,             0.00047367,             0.00047367,             0.00047367
                    105,                 1.3601,                0.91602,                 1.2386,                0.66756,                0.64918,                0.65014,                0.34018,                 1.9608,                 1.2437,                 1.6026,             0.00047131,             0.00047131,             0.00047131
                    106,                 1.3452,                0.93748,                 1.2637,                0.64079,                0.67474,                0.66563,                0.35575,                 1.9549,                 1.2436,                 1.6261,             0.00046896,             0.00046896,             0.00046896
                    107,                 1.3418,                0.91363,                 1.2353,                0.62026,                0.62364,                0.63104,                 0.3062,                  1.997,                 1.2615,                  1.669,              0.0004666,              0.0004666,              0.0004666
                    108,                 1.3258,                0.91899,                  1.246,                0.67332,                0.63209,                0.64022,                0.33108,                  2.012,                 1.2423,                 1.6814,             0.00046424,             0.00046424,             0.00046424
                    109,                 1.3333,                0.90409,                 1.2431,                0.65319,                0.62537,                0.64577,                0.32856,                 2.0106,                 1.2391,                 1.6513,             0.00046189,             0.00046189,             0.00046189
                    110,                 1.3268,                0.90615,                 1.2381,                0.79744,                0.59263,                0.65563,                0.32597,                 2.0126,                 1.2788,                  1.661,             0.00045953,             0.00045953,             0.00045953
                    111,                 1.3208,                0.90048,                 1.2336,                0.70026,                0.59792,                0.64271,                 0.3078,                 2.0251,                  1.263,                 1.6563,             0.00045717,             0.00045717,             0.00045717
                    112,                  1.339,                0.91731,                  1.233,                0.68435,                0.60674,                0.64783,                0.32237,                 2.0314,                 1.2327,                 1.6894,             0.00045482,             0.00045482,             0.00045482
                    113,                 1.3026,                0.89329,                 1.2308,                0.65671,                0.64401,                0.63423,                0.32049,                 2.0108,                  1.261,                 1.6675,             0.00045246,             0.00045246,             0.00045246
                    114,                 1.2958,                0.86706,                 1.2271,                0.67496,                0.66068,                0.64727,                0.33379,                 1.9877,                 1.2325,                  1.659,             0.00045011,             0.00045011,             0.00045011
                    115,                 1.3193,                0.87615,                 1.2228,                0.67843,                0.63201,                0.65606,                0.32697,                 2.0222,                 1.2406,                  1.681,             0.00044775,             0.00044775,             0.00044775
                    116,                 1.3037,                 0.8749,                 1.2158,                0.77833,                0.62659,                0.65404,                0.33432,                 2.0181,                 1.2208,                  1.679,             0.00044539,             0.00044539,             0.00044539
                    117,                 1.2993,                0.87013,                 1.2178,                 0.7622,                0.62919,                0.68283,                0.33986,                 2.0384,                 1.2546,                 1.6909,             0.00044304,             0.00044304,             0.00044304
                    118,                 1.2926,                0.87162,                 1.2115,                0.64572,                0.66018,                0.63797,                0.32296,                 2.0156,                 1.2748,                 1.6755,             0.00044068,             0.00044068,             0.00044068
                    119,                 1.3043,                0.86083,                 1.2122,                0.65785,                  0.604,                0.60687,                0.31776,                 2.0376,                 1.2889,                 1.6959,             0.00043832,             0.00043832,             0.00043832
                    120,                  1.267,                0.86618,                 1.2079,                0.72421,                0.63664,                0.64832,                0.32492,                 2.0192,                 1.2821,                 1.6649,             0.00043597,             0.00043597,             0.00043597
                    121,                  1.295,                  0.851,                 1.2069,                0.72783,                0.64967,                0.67001,                 0.3312,                  2.006,                  1.254,                 1.6644,             0.00043361,             0.00043361,             0.00043361
                    122,                  1.274,                 0.8288,                 1.1918,                0.69715,                0.63329,                0.64548,                0.32566,                 2.0263,                  1.249,                 1.7153,             0.00043126,             0.00043126,             0.00043126
                    123,                 1.2714,                0.83637,                 1.2046,                0.67313,                0.61575,                0.64462,                0.31396,                 2.0148,                 1.2343,                 1.6826,              0.0004289,              0.0004289,              0.0004289
                    124,                 1.2555,                0.83957,                 1.1888,                0.64922,                0.63614,                0.63458,                0.32024,                 2.0507,                 1.2492,                 1.7243,             0.00042654,             0.00042654,             0.00042654
                    125,                 1.2548,                0.81943,                  1.205,                0.64142,                0.64623,                0.62607,                0.31708,                 2.0077,                 1.2477,                 1.6822,             0.00042419,             0.00042419,             0.00042419
                    126,                 1.2642,                0.83219,                 1.1918,                0.64475,                0.64995,                 0.6386,                0.31912,                 2.0239,                 1.2512,                 1.6996,             0.00042183,             0.00042183,             0.00042183
                    127,                 1.2639,                0.83636,                  1.191,                0.67318,                0.57952,                 0.6031,                0.30231,                 2.0394,                 1.2386,                 1.6784,             0.00041947,             0.00041947,             0.00041947
                    128,                 1.2508,                 0.8067,                 1.1844,                0.68439,                0.62067,                0.62924,                0.32473,                  2.025,                 1.2245,                 1.7182,             0.00041712,             0.00041712,             0.00041712
                    129,                 1.2566,                0.81348,                 1.1869,                0.66802,                0.64649,                0.62656,                0.31148,                 2.0218,                 1.2349,                 1.6885,             0.00041476,             0.00041476,             0.00041476
                    130,                 1.2247,                0.79713,                 1.1724,                0.60131,                0.60528,                0.60242,                0.30754,                 2.0275,                 1.2557,                 1.7106,             0.00041241,             0.00041241,             0.00041241
                    131,                  1.256,                0.80176,                 1.1772,                0.64651,                0.61932,                0.60611,                0.30224,                 2.0136,                 1.2461,                 1.6826,             0.00041005,             0.00041005,             0.00041005
                    132,                 1.2161,                0.80574,                 1.1675,                 0.6326,                0.59394,                0.60117,                0.29677,                 2.0535,                 1.2684,                 1.7038,             0.00040769,             0.00040769,             0.00040769
                    133,                 1.2288,                0.79793,                 1.1733,                 0.6277,                0.65272,                0.62094,                0.31976,                 2.0303,                 1.2484,                 1.7327,             0.00040534,             0.00040534,             0.00040534
