                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2508,                  3.899,                 1.7962,                0.39952,                0.34934,                0.29646,                 0.1267,                 2.2829,                 2.4432,                 1.6732,             0.00023748,             0.00023748,             0.00023748
                      2,                 2.0704,                 2.9997,                 1.6588,                0.61807,                0.39249,                0.35402,                0.15674,                 2.1967,                 2.5205,                 1.7019,             0.00047391,             0.00047391,             0.00047391
                      3,                 2.0697,                 2.6867,                 1.6739,                0.64572,                0.37982,                0.38162,                 0.1578,                 2.1866,                 2.2057,                 1.7045,             0.00070877,             0.00070877,             0.00070877
                      4,                 2.0243,                 2.4667,                 1.6365,                0.69513,                0.36735,                0.41772,                 0.1718,                 2.1415,                 1.9776,                 1.6314,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.9922,                 2.2775,                 1.6172,                0.69158,                0.39858,                0.44801,                0.20887,                 2.0691,                 1.8861,                 1.5969,             0.00070693,             0.00070693,             0.00070693
                      6,                  1.969,                 2.1665,                 1.6078,                0.60113,                0.46086,                0.43463,                0.19322,                 2.0943,                 1.9398,                 1.6358,             0.00070458,             0.00070458,             0.00070458
                      7,                 1.9408,                 2.0742,                 1.5754,                0.67075,                0.45036,                0.47737,                0.23742,                 2.1094,                 1.8855,                 1.6273,             0.00070222,             0.00070222,             0.00070222
                      8,                 1.9088,                 2.0403,                 1.5531,                0.67819,                0.45787,                0.47506,                0.22333,                 2.0066,                 1.8347,                 1.5369,             0.00069986,             0.00069986,             0.00069986
                      9,                 1.8757,                 1.9563,                 1.5244,                0.55863,                0.47301,                0.50322,                0.24997,                 2.0078,                 1.8013,                 1.5157,             0.00069751,             0.00069751,             0.00069751
                     10,                 1.8666,                 1.9305,                 1.5273,                0.54263,                0.53831,                0.51354,                0.25772,                 1.9755,                 1.6921,                  1.525,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.8307,                 1.8685,                 1.4926,                0.67015,                0.50854,                0.47788,                0.22865,                 2.0324,                 1.7386,                 1.5437,             0.00069279,             0.00069279,             0.00069279
                     12,                 1.8604,                 1.8752,                 1.5095,                0.60649,                0.57167,                0.57321,                0.27311,                 2.0316,                 1.6688,                 1.5227,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.8407,                 1.8055,                 1.5009,                0.56268,                0.53455,                0.53493,                0.25065,                 2.0007,                 1.6376,                 1.5125,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.8115,                 1.8011,                 1.4889,                0.78664,                0.49228,                0.55856,                0.27512,                 1.9575,                 1.6482,                 1.5061,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.8283,                 1.7684,                 1.5024,                0.63222,                0.58484,                0.58658,                0.28909,                 1.9689,                 1.6277,                 1.5439,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.8029,                 1.7228,                 1.4598,                0.54326,                0.60792,                0.58747,                0.27614,                 1.9459,                 1.6055,                 1.4928,             0.00068101,             0.00068101,             0.00068101
                     17,                  1.784,                 1.7249,                 1.4721,                0.57023,                0.60491,                0.59105,                0.28977,                 1.9695,                 1.5454,                 1.4942,             0.00067866,             0.00067866,             0.00067866
                     18,                 1.7805,                 1.6361,                  1.452,                0.69257,                 0.5592,                0.57931,                0.27589,                 2.0006,                 1.5799,                 1.5349,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.7706,                 1.6508,                   1.45,                0.61448,                0.60691,                 0.6101,                0.28755,                 1.9503,                 1.5593,                 1.5182,             0.00067394,             0.00067394,             0.00067394
                     20,                 1.7847,                 1.6542,                 1.4622,                0.69626,                0.57832,                0.61911,                0.30412,                 1.9623,                 1.5173,                 1.4931,             0.00067159,             0.00067159,             0.00067159
                     21,                 1.7751,                 1.6511,                   1.43,                0.62424,                 0.5465,                0.56803,                0.27547,                 2.0115,                 1.5932,                  1.514,             0.00066923,             0.00066923,             0.00066923
                     22,                 1.7552,                 1.6161,                 1.4468,                0.60998,                0.62359,                0.62451,                0.28947,                 1.9638,                 1.5551,                 1.5097,             0.00066688,             0.00066688,             0.00066688
                     23,                 1.7488,                 1.6135,                 1.4329,                0.82078,                0.53483,                0.61635,                 0.3117,                 1.9401,                 1.5306,                 1.4879,             0.00066452,             0.00066452,             0.00066452
                     24,                 1.7383,                 1.6116,                 1.4375,                0.71969,                0.53074,                0.62111,                0.30157,                 1.9561,                 1.5517,                  1.501,             0.00066216,             0.00066216,             0.00066216
                     25,                 1.7495,                 1.5885,                 1.4192,                0.58604,                0.63907,                0.63728,                0.30936,                 1.9374,                 1.5021,                 1.4876,             0.00065981,             0.00065981,             0.00065981
                     26,                 1.7087,                 1.5619,                 1.4164,                0.76608,                0.59013,                0.61981,                0.31078,                 1.9134,                 1.5398,                 1.4851,             0.00065745,             0.00065745,             0.00065745
                     27,                 1.7262,                 1.5775,                 1.4226,                0.71432,                0.62239,                0.64529,                0.29825,                 1.9752,                 1.4884,                 1.4891,             0.00065509,             0.00065509,             0.00065509
                     28,                 1.7295,                 1.5641,                 1.4223,                0.59071,                0.59804,                0.61861,                0.29832,                 1.9699,                 1.4933,                 1.5071,             0.00065274,             0.00065274,             0.00065274
                     29,                 1.6811,                 1.4961,                 1.3699,                0.64403,                0.61163,                0.61317,                0.29476,                 1.9582,                 1.4968,                 1.4752,             0.00065038,             0.00065038,             0.00065038
                     30,                   1.71,                 1.5189,                 1.3901,                0.53898,                0.66204,                0.65639,                 0.3293,                 1.9189,                 1.4624,                 1.4485,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.6893,                 1.5206,                 1.3976,                0.66103,                0.58074,                0.60485,                0.30019,                 1.9324,                  1.495,                 1.4666,             0.00064567,             0.00064567,             0.00064567
                     32,                  1.693,                 1.4909,                 1.3936,                0.59978,                0.63083,                0.63279,                0.30822,                 1.9257,                 1.4394,                 1.4979,             0.00064331,             0.00064331,             0.00064331
                     33,                 1.7065,                 1.4913,                  1.401,                0.69929,                0.58103,                0.62283,                 0.3044,                 1.9399,                 1.5228,                 1.5185,             0.00064096,             0.00064096,             0.00064096
                     34,                 1.6939,                  1.485,                 1.3873,                0.66276,                0.61405,                 0.6048,                0.30729,                 1.9591,                 1.4473,                 1.4921,              0.0006386,              0.0006386,              0.0006386
                     35,                 1.6979,                 1.4609,                 1.3844,                0.69554,                0.59794,                0.65029,                0.31688,                 1.9108,                 1.4408,                 1.4329,             0.00063625,             0.00063625,             0.00063625
                     36,                 1.6906,                  1.468,                 1.3873,                0.66686,                0.62937,                0.65719,                0.32692,                 1.9226,                 1.4777,                 1.4767,             0.00063389,             0.00063389,             0.00063389
                     37,                 1.7052,                 1.4999,                 1.3846,                0.59951,                0.64274,                0.63672,                0.32067,                 1.9164,                 1.4398,                 1.4645,             0.00063153,             0.00063153,             0.00063153
                     38,                 1.6766,                  1.419,                 1.3663,                 0.7004,                0.60326,                0.66446,                0.31625,                 1.9731,                 1.5041,                 1.5025,             0.00062918,             0.00062918,             0.00062918
                     39,                 1.6903,                 1.4658,                 1.3819,                0.72177,                0.61306,                0.66698,                0.33072,                 1.9391,                 1.4346,                 1.5001,             0.00062682,             0.00062682,             0.00062682
                     40,                 1.6886,                 1.4519,                 1.3754,                0.61626,                0.63897,                0.64324,                0.31349,                 1.9612,                 1.4453,                 1.4965,             0.00062446,             0.00062446,             0.00062446
                     41,                 1.6749,                 1.4247,                 1.3688,                0.78212,                0.58545,                0.65426,                0.32884,                 1.9121,                  1.418,                  1.471,             0.00062211,             0.00062211,             0.00062211
                     42,                 1.6613,                 1.4246,                 1.3843,                0.65441,                0.66898,                0.65768,                0.32847,                 1.9124,                 1.4318,                 1.5053,             0.00061975,             0.00061975,             0.00061975
                     43,                 1.6747,                 1.4295,                 1.3725,                0.61807,                0.67607,                 0.6335,                0.31362,                 1.9116,                 1.4155,                 1.4951,              0.0006174,              0.0006174,              0.0006174
                     44,                 1.6664,                 1.4186,                 1.3701,                0.81986,                0.59736,                0.66708,                0.33365,                 1.9362,                 1.4006,                 1.4826,             0.00061504,             0.00061504,             0.00061504
                     45,                 1.6445,                 1.4023,                 1.3593,                0.64566,                0.62509,                0.62845,                 0.2971,                 1.9427,                 1.3965,                 1.4842,             0.00061268,             0.00061268,             0.00061268
                     46,                 1.6648,                  1.419,                  1.369,                   0.64,                0.67272,                0.64751,                0.33211,                 1.9186,                  1.388,                 1.4701,             0.00061033,             0.00061033,             0.00061033
                     47,                 1.6552,                   1.37,                 1.3596,                0.66559,                0.58891,                0.62481,                0.31685,                 1.9534,                 1.4068,                 1.4746,             0.00060797,             0.00060797,             0.00060797
                     48,                 1.6689,                 1.3961,                 1.3659,                 0.7339,                0.65106,                0.67513,                0.33998,                  1.959,                 1.3863,                   1.47,             0.00060561,             0.00060561,             0.00060561
                     49,                 1.6425,                  1.382,                 1.3472,                0.72999,                0.58039,                 0.6191,                0.31421,                 1.9324,                  1.412,                 1.4967,             0.00060326,             0.00060326,             0.00060326
                     50,                 1.6353,                 1.3679,                 1.3465,                0.60311,                0.68419,                0.64461,                0.30854,                 1.9586,                 1.3918,                 1.4925,              0.0006009,              0.0006009,              0.0006009
                     51,                 1.6451,                 1.3827,                 1.3659,                0.63608,                0.70713,                 0.6852,                0.32082,                 1.9538,                 1.4123,                 1.4567,             0.00059855,             0.00059855,             0.00059855
                     52,                 1.6257,                 1.3423,                 1.3325,                0.59086,                0.65734,                0.65623,                0.30943,                 1.9656,                 1.3814,                 1.4802,             0.00059619,             0.00059619,             0.00059619
                     53,                 1.6452,                  1.359,                 1.3528,                0.72975,                0.69481,                0.69582,                0.34659,                  1.903,                 1.3164,                 1.4385,             0.00059383,             0.00059383,             0.00059383
                     54,                 1.6152,                 1.3376,                 1.3375,                0.64453,                0.64104,                0.64215,                0.33228,                 1.9059,                 1.3593,                 1.4619,             0.00059148,             0.00059148,             0.00059148
                     55,                 1.6205,                  1.329,                 1.3466,                0.57614,                0.65051,                0.64104,                0.32715,                 1.9232,                 1.3309,                 1.4552,             0.00058912,             0.00058912,             0.00058912
                     56,                 1.6269,                 1.3273,                 1.3444,                0.68105,                0.62392,                0.64807,                 0.3155,                 1.9788,                 1.3828,                 1.5094,             0.00058677,             0.00058677,             0.00058677
                     57,                 1.6344,                 1.3309,                 1.3399,                0.60948,                0.62565,                 0.6435,                0.32245,                 1.9056,                 1.3323,                 1.4546,             0.00058441,             0.00058441,             0.00058441
                     58,                 1.6312,                 1.3518,                  1.352,                0.70017,                0.60321,                0.66206,                0.31319,                 1.9287,                 1.3764,                 1.4606,             0.00058205,             0.00058205,             0.00058205
                     59,                  1.627,                 1.3292,                 1.3429,                0.61491,                0.65379,                0.63036,                0.32638,                 1.9289,                 1.3575,                 1.4726,              0.0005797,              0.0005797,              0.0005797
                     60,                 1.6131,                 1.3183,                 1.3316,                0.73591,                0.62753,                0.66275,                0.33328,                  1.927,                 1.3319,                 1.4788,             0.00057734,             0.00057734,             0.00057734
                     61,                 1.6122,                 1.3081,                 1.3421,                0.61715,                0.67559,                0.65006,                0.30635,                 1.9733,                 1.3904,                  1.503,             0.00057498,             0.00057498,             0.00057498
